Name,Score,Best_n_components,Status
1005_glass,0.7940199335548174,9,ok
1048_jEdit_4_2_4_3,0.6586449463161792,8,ok
1068_pc1,0.9341893930129224,1,ok
1071_mw1,0.9354320987654321,1,ok
1442_MegaWatt1,0.9130980392156862,9,ok
1443_PizzaCutter1,0.9319093187514239,9,ok
1446_CostaMadre1,0.8681920903954803,1,ok
1447_CastMetal1,0.8777156177156178,9,ok
1449_MeanWhile1,0.9013333333333332,18,ok
1451_PieChart1,0.9234042553191489,1,ok
1460_banana,0.889,2,ok
1462_banknote-authentication,0.9992727272727272,3,ok
1499_seeds,0.9238095238095237,5,ok
1500_seismic-bumps,0.9428571428571427,5,ok
1508_user-knowledge,0.9330555555555555,3,ok
1510_wdbc,0.9736686849868033,22,ok
1524_vertebra-column,0.8161290322580645,6,ok
1525_wall-robot-navigation,0.9744999999999999,2,ok
1535_volcanoes-b5,0.966,3,ok
1547_autoUniv-au1-1000,0.7430000000000001,15,ok
15_breast-w,0.9699486125385407,9,ok
311_oil_spill,0.9637103197178292,12,ok
337_SPECTF,0.7879503105590062,11,ok
37_diabetes,0.7564553093964859,6,ok
40671_ecoli,0.892913752913753,7,ok
40682_thyroid-new,0.9488372093023256,3,ok
40704_Titanic,0.78,1,ok
40994_climate-model-simulation-crashes,0.9462962962962962,4,ok
41919_CPMP-2015-runtime-classification,0.5179514824797844,5,ok
41945_ilpd-numeric,0.7170203359858534,5,ok
44127_phoneme,0.8285,5,ok
44346_credit,0.6745,5,ok
44362_california_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,0.799,8,ok
44368_wine_seed_1_nrows_2000_nclasses_10_ncols_100_stratify_True,0.751,11,ok
44376_electricity_seed_4_nrows_2000_nclasses_10_ncols_100_stratify_True,0.7194999999999999,3,ok
44377_covertype_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,0.7255,5,ok
44386_pol_seed_4_nrows_2000_nclasses_10_ncols_100_stratify_True,0.93,26,ok
44389_house_16H_seed_2_nrows_2000_nclasses_10_ncols_100_stratify_True,0.7975,8,ok
44392_kdd_ipums_la_97-small_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,0.8545,5,ok
44400_MagicTelescope_seed_3_nrows_2000_nclasses_10_ncols_100_stratify_True,0.808,10,ok
44405_bank-marketing_seed_3_nrows_2000_nclasses_10_ncols_100_stratify_True,0.755,3,ok
44417_Higgs_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,0.6085,6,ok
44423_eye_movements_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,0.567,10,ok
44492_wilt_seed_4_nrows_2000_nclasses_10_ncols_100_stratify_True,0.9490000000000001,5,ok
44495_numerai28_6_seed_2_nrows_2000_nclasses_10_ncols_100_stratify_True,0.5399999999999999,10,ok
44597_blood-transfusion-service-center_seed_4_nrows_2000_nclasses_10_ncols_100_stratify_True,0.7860671140939598,3,ok
44601_qsar-biodeg_seed_3_nrows_2000_nclasses_10_ncols_100_stratify_True,0.8606635071090049,30,ok
44632_kc1_seed_4_nrows_2000_nclasses_10_ncols_100_stratify_True,0.857,1,ok
44679_sylvine_seed_1_nrows_2000_nclasses_10_ncols_100_stratify_True,0.909,1,ok
44720_jungle_chess_2pcs_raw_endgame_complete_seed_2_nrows_2000_nclasses_10_ncols_100_stratify_True,0.7555,4,ok
45604_dummy,0.93,6,ok
46279_algerian_forest_fires,0.9587585034013605,3,ok
46416_Creditability-German-Credit-Data,0.7430000000000001,5,ok
46435_Apple_Stock_Price_Trends_Classification,0.3755,5,ok
46505_total_score,0.5993881118881119,7,ok
46535_dataset_credit-approval,0.8666666666666666,1,ok
46562_German-Credit-Data-Creditability-Preprocessed-Dataset,0.735,8,ok
46764_football-player-position,0.8295,11,ok
46842_maternal_health_risk,0.7327513046871189,4,ok
46851_hepatitis_c_virus_hcv_for_egyptian_patients,0.267870036101083,14,ok
46873_student_lifestyle_dataset,0.9705,3,ok
46876_depression_2020,0.8250595019016073,1,ok
46879_mental_health_detection,0.4296296296296297,7,ok
46880_air-quality-and-pollution-assessment,0.9245000000000001,9,ok
46951_Pumpkin_Seeds,0.8800000000000001,12,ok
47155_waveform,0.80375,10,ok
53_heart-statlog,0.8592592592592592,3,ok
59_ionosphere,0.8888531187122736,8,ok
717_rmftsa_ladata,0.8896719083673073,2,ok
721_pwLinear,0.885,5,ok
728_analcatdata_supreme,0.9935,1,ok
733_machine_cpu,0.9470383275261323,3,ok
737_space_ga,0.8015000000000001,6,ok
750_pm10,0.5579999999999999,1,ok
770_strikes,0.9536,3,ok
772_quake,0.533,2,ok
778_bodyfat,0.9960000000000001,1,ok
803_delta_ailerons,0.9440000000000002,5,ok
820_chatfield_4,0.9148936170212766,9,ok
832_fri_c3_250_25,0.7120000000000001,6,ok
841_stock,0.9642105263157894,9,ok
860_vinnie,0.8473684210526315,1,ok
871_pollen,0.5315000000000001,2,ok
880_mu284,0.9964912280701753,1,ok
886_no2,0.6279999999999999,5,ok
909_chscase_census2,0.5525,1,ok
914_balloon,0.813,1,ok
925_visualizing_galaxy,0.9596153846153846,2,ok
931_disclosure_z,0.5317953975848713,1,ok
958_segment,0.9945,9,ok
962_mfeat-morphological,0.9984999999999999,3,ok
994_vehicle,0.9586425339366516,13,ok
996_prnn_fglass,0.7664451827242524,9,ok
997_balance-scale,0.8912000000000001,4,ok
