Name,Score,Best_n_components,Status
1005_glass,0.756921373200443,3,ok
1048_jEdit_4_2_4_3,0.6586079229914846,3,ok
1068_pc1,0.9251600016305899,20,ok
1071_mw1,0.9230864197530864,20,ok
1442_MegaWatt1,0.8854901960784314,2,ok
1443_PizzaCutter1,0.9152882205513784,10,ok
1446_CostaMadre1,0.8446327683615819,5,ok
1447_CastMetal1,0.8868997668997668,10,ok
1449_MeanWhile1,0.8854901960784314,2,ok
1451_PieChart1,0.9035460992907801,5,ok
1460_banana,0.893,10,ok
1462_banknote-authentication,0.9985454545454544,5,ok
1499_seeds,0.8904761904761905,5,ok
1500_seismic-bumps,0.919047619047619,3,ok
1508_user-knowledge,0.7765432098765432,20,ok
1510_wdbc,0.9578171091445427,3,ok
1524_vertebra-column,0.803225806451613,10,ok
1525_wall-robot-navigation,0.96,20,ok
1535_volcanoes-b5,0.967,20,ok
1547_autoUniv-au1-1000,0.723,10,ok
15_breast-w,0.967081192189106,2,ok
311_oil_spill,0.9647627716463762,5,ok
337_SPECTF,0.710600414078675,3,ok
37_diabetes,0.7277905101434513,20,ok
40671_ecoli,0.8867599067599066,20,ok
40682_thyroid-new,0.9209302325581395,3,ok
40704_Titanic,0.7735000000000001,3,ok
40994_climate-model-simulation-crashes,0.9351851851851851,10,ok
41919_CPMP-2015-runtime-classification,0.4932973944294699,5,ok
41945_ilpd-numeric,0.6929855585027999,2,ok
44127_phoneme,0.8184999999999999,20,ok
44346_credit,0.5619999999999999,20,ok
44362_california_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,0.7495,20,ok
44368_wine_seed_1_nrows_2000_nclasses_10_ncols_100_stratify_True,0.7384999999999999,10,ok
44376_electricity_seed_4_nrows_2000_nclasses_10_ncols_100_stratify_True,0.7224999999999999,20,ok
44377_covertype_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,0.6715,20,ok
44386_pol_seed_4_nrows_2000_nclasses_10_ncols_100_stratify_True,0.9055,20,ok
44389_house_16H_seed_2_nrows_2000_nclasses_10_ncols_100_stratify_True,0.7795,20,ok
44392_kdd_ipums_la_97-small_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,0.8109999999999999,20,ok
44400_MagicTelescope_seed_3_nrows_2000_nclasses_10_ncols_100_stratify_True,0.7525,20,ok
44405_bank-marketing_seed_3_nrows_2000_nclasses_10_ncols_100_stratify_True,0.7335,5,ok
44417_Higgs_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,0.5515,20,ok
44423_eye_movements_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,0.5349999999999999,20,ok
44492_wilt_seed_4_nrows_2000_nclasses_10_ncols_100_stratify_True,0.9484999999999999,10,ok
44495_numerai28_6_seed_2_nrows_2000_nclasses_10_ncols_100_stratify_True,0.5035000000000001,3,ok
44597_blood-transfusion-service-center_seed_4_nrows_2000_nclasses_10_ncols_100_stratify_True,0.7780492170022371,10,ok
44601_qsar-biodeg_seed_3_nrows_2000_nclasses_10_ncols_100_stratify_True,0.8473933649289099,20,ok
44632_kc1_seed_4_nrows_2000_nclasses_10_ncols_100_stratify_True,0.8295,20,ok
44679_sylvine_seed_1_nrows_2000_nclasses_10_ncols_100_stratify_True,0.7474999999999999,10,ok
44720_jungle_chess_2pcs_raw_endgame_complete_seed_2_nrows_2000_nclasses_10_ncols_100_stratify_True,0.6779999999999999,20,ok
45604_dummy,0.9280000000000002,5,ok
46279_algerian_forest_fires,0.884778911564626,20,ok
46416_Creditability-German-Credit-Data,0.696,10,ok
46435_Apple_Stock_Price_Trends_Classification,0.3645,3,ok
46505_total_score,0.5966103341103342,20,ok
46535_dataset_credit-approval,0.8391304347826087,10,ok
46562_German-Credit-Data-Creditability-Preprocessed-Dataset,0.6799999999999999,20,ok
46764_football-player-position,0.7905,10,ok
46842_maternal_health_risk,0.6903575086572697,20,ok
46851_hepatitis_c_virus_hcv_for_egyptian_patients,0.2527075812274368,10,ok
46873_student_lifestyle_dataset,0.8394999999999999,20,ok
46876_depression_2020,0.8222696601643971,20,ok
46879_mental_health_detection,0.4333333333333334,10,ok
46880_air-quality-and-pollution-assessment,0.9179999999999999,10,ok
46951_Pumpkin_Seeds,0.874,20,ok
47155_waveform,0.79375,10,ok
53_heart-statlog,0.8185185185185185,2,ok
59_ionosphere,0.8604024144869216,5,ok
717_rmftsa_ladata,0.85824111822947,10,ok
721_pwLinear,0.7699999999999999,20,ok
728_analcatdata_supreme,0.953,10,ok
733_machine_cpu,0.9279907084785133,20,ok
737_space_ga,0.7645000000000001,20,ok
750_pm10,0.5519999999999999,20,ok
770_strikes,0.7968,5,ok
772_quake,0.5225000000000001,20,ok
778_bodyfat,0.8451764705882354,10,ok
803_delta_ailerons,0.9380000000000001,3,ok
820_chatfield_4,0.851063829787234,20,ok
832_fri_c3_250_25,0.6519999999999999,2,ok
841_stock,0.9452631578947368,20,ok
860_vinnie,0.8473684210526315,5,ok
871_pollen,0.5005000000000001,2,ok
880_mu284,0.9156015037593985,2,ok
886_no2,0.6079999999999999,10,ok
909_chscase_census2,0.5299999999999999,5,ok
914_balloon,0.8105,20,ok
925_visualizing_galaxy,0.9596634615384616,3,ok
931_disclosure_z,0.5150262018683072,2,ok
958_segment,0.9875,10,ok
962_mfeat-morphological,0.9984999999999999,2,ok
994_vehicle,0.9621997911590672,10,ok
996_prnn_fglass,0.775858250276855,3,ok
997_balance-scale,0.8928,3,ok
